PLAYER,TEAM,AGE,GP,MIN,DEFLECTIONS,"DEF LOOSE BALLS
Johnathan Motley,LAC,24,22,7.1,0.2,0.1,0,1.4,0.6
Johnathan Williams,LAL,24,24,15.5,0.9,0.2,0.08,3.5,1.6
Jon Leuer,DET,30,41,9.8,0.4,0.2,0.1,2.8,0.6
Jonah Bolden,PHI,23,44,14.5,0.9,0.3,0,3.3,1.3
Jonas Jerebko,GSW,32,73,16.7,0.5,0.2,0.15,2.5,1.8
Jonas Valanciunas,MEM,27,49,22.3,0.8,0.3,0,9.8,1.5
Jonathan Isaac,ORL,21,75,26.6,1.9,0.4,0.07,5.4,2.3
Jonathon Simmons,PHI,29,56,19,0.9,0.3,0.07,1.6,1.7
Jordan Bell,GSW,24,68,11.6,0.7,0.2,0.07,3.9,1.5
Jordan Clarkson,CLE,27,81,27.3,1.2,0.4,0.01,2.7,3.2
Jordan Loyd,TOR,25,12,4.6,0.4,0,0,0.3,0.3
Jordan McRae,WAS,28,27,12.3,0.7,0.1,0,1.9,1.7
Jordan Sibert,ATL,26,1,4.2,0,0,0,0,0
Jose Calderon,DET,37,49,12.9,0.8,0.2,0.04,1.1,1.2
Josh Hart,LAL,24,67,25.6,1.5,0.6,0.01,5.2,3.3
Josh Jackson,PHX,22,79,25.2,1.4,0.4,0.15,3.5,2.7
Josh Okogie,MIN,20,74,23.7,2.1,0.6,0.18,3,2.8
Josh Richardson,MIA,25,73,34.8,2.5,0.7,0.01,4,4
Jrue Holiday,NOP,29,67,35.9,3.1,0.8,0.03,4.2,4.5
Juancho Hernangomez,DEN,23,70,19.4,0.7,0.3,0.03,3.5,2.5
Julian Washburn,MEM,27,18,14.1,0.8,0.4,0,1.5,1.6
Julius Randle,NOP,24,73,30.6,1.1,0.7,0.03,6,3.8
Justin Anderson,ATL,25,48,9.7,0.7,0.2,0.04,1.2,0.8
Justin Holiday,MEM,30,82,31.8,2.3,0.7,0.01,3.7,3.7
Justin Jackson,DAL,24,81,19.9,0.4,0.5,0.01,2.6,2.1
Justin Patton,PHI,22,3,6.9,0.7,0.3,0,2.3,0.3
Justise Winslow,MIA,23,66,29.7,1.6,0.7,0.08,3.7,3.1
Jusuf Nurkic,POR,24,72,27.4,1.8,0.7,0,11,2
Kadeem Allen,NYK,26,19,21.9,1.5,0.5,0.11,2,1.7
Kalin Lucas,DET,30,1,5.6,0,2,0,0,0
Karl-Anthony Towns,MIN,23,77,33,1.6,0.7,0.04,11.7,3.1
Kawhi Leonard,TOR,28,60,34,3.2,1,0,3.8,3.4
Keita Bates-Diop,MIN,23,30,16.8,1.1,0.2,0,3.2,2.1
Kelly Olynyk,MIA,28,79,22.9,1.5,0.3,0.19,4.2,2.8
Kelly Oubre Jr.,PHX,23,69,28,3,0.5,0.1,3.8,2.6
Kemba Walker,CHA,29,82,34.9,1.9,1.1,0.33,3.4,3.8
Kenneth Faried,HOU,29,37,19.7,0.8,0.4,0.27,4.1,2.4
Kenrich Williams,NOP,24,46,23.5,1.7,0.6,0.17,3.6,2.5
Kent Bazemore,ATL,29,67,24.5,2.1,0.8,0.09,3.2,2.1
Kentavious Caldwell-Pope,LAL,26,82,24.8,1.3,0.6,0.06,1.2,2
Kevin Durant,GSW,30,78,34.6,1.5,0.5,0.04,4.3,3.7
Kevin Huerter,ATL,20,75,27.3,1.6,0.6,0,3,2.8
Kevin Knox,NYK,19,75,28.8,0.8,0.5,0,3.4,3.5
Kevin Love,CLE,30,22,27.2,0.3,0.3,0.41,3.5,2.2
Kevon Looney,GSW,23,80,18.5,0.7,0.4,0,6.7,2.7
Khem Birch,ORL,26,50,12.9,0.7,0.3,0.06,4.1,0.7
Khris Middleton,MIL,27,77,31.1,1.8,0.5,0.01,2.2,3.3
Khyri Thomas,DET,23,26,7.5,0.5,0.1,0,0.7,0.2
Klay Thompson,GSW,29,78,34,2.1,0.7,0,3.7,2.3
Kobi Simmons,CLE,21,1,1.8,0,0,0,0,1
Kosta Koufos,SAC,30,42,11.9,0.8,0.2,0,4.4,1.1
Kostas Antetokounmpo,DAL,21,2,5.3,0.5,0,0,1,2
Kris Dunn,CHI,25,46,30.2,3.1,0.9,0,3.7,4
Kyle Anderson,MEM,25,43,29.8,2.7,0.6,0.05,3.7,2.5
Kyle Korver,UTA,38,70,19.1,0.8,0.1,0.09,2,1.9
Kyle Kuzma,LAL,23,70,33.1,0.7,0.5,0.1,5.3,3.3
Kyle Lowry,TOR,33,65,34.1,2.2,1.2,0.35,2.8,2.8
Kyle O'Quinn,IND,29,45,8.2,0.3,0.1,0,2.7,0.8
Kyrie Irving,BOS,27,67,33,2.5,1,0.19,2.8,2.7
LaMarcus Aldridge,SAS,33,81,33.2,1.1,0.4,0,11.2,2.4
Lance Stephenson,LAL,28,68,16.5,0.7,0.4,0,1.2,1.5
Lance Thomas,NYK,31,46,17,0.7,0.3,0.04,1.9,1.8
Landry Shamet,LAC,22,79,22.8,0.8,0.3,0.01,3.4,2.4
Langston Galloway,DET,27,80,21.8,0.8,0.4,0.04,3,1.9
Larry Nance Jr.,CLE,26,67,26.8,2.8,0.7,0.04,6.2,2.3
Lauri Markkanen,CHI,22,52,32.3,1.1,0.5,0.04,5,3.1
LeBron James,LAL,34,55,35.2,1.8,0.9,0.11,3.2,2.5
Lonnie Walker IV,SAS,20,17,6.9,0.5,0.2,0,0.7,0.5
Lonzo Ball,LAL,21,47,30.3,2.6,0.7,0,3.3,3.5
Lorenzo Brown,TOR,28,26,8.2,0.8,0.3,0,0.6,0.8
Lou Williams,LAC,32,75,26.6,1.3,0.6,0,1.4,2.3
Luc Mbah a Moute,LAC,32,4,15.3,0.8,0,0,1.8,2
Luka Doncic,DAL,20,72,32.2,2,0.7,0.11,3.6,2.7
Luke Kennard,DET,23,63,22.8,0.9,0.4,0,1.8,1.7
Luke Kornet,NYK,23,46,17,0.8,0.3,0,7.5,2.4
Luol Deng,MIN,34,22,17.8,0.8,0.3,0,3.1,2.8
Malachi Richardson,TOR,23,22,4.7,0.1,0,0.05,0.2,0.3
Malcolm Brogdon,MIL,26,64,28.6,1,0.6,0,3.5,2.8
Malcolm Miller,TOR,26,10,6.7,0,0,0,1.1,1.7
Malik Beasley,DEN,22,81,23.2,1.1,0.5,0.05,2.3,2.1
Malik Monk,CHA,21,73,17.2,0.8,0.4,0.01,1.6,1.4
MarShon Brooks,MEM,30,29,13.3,0.7,0.2,0.07,1.6,1.7
Marc Gasol,TOR,34,79,30.8,1.7,0.6,0.35,8,1.5
Marcin Gortat,LAC,35,47,16,0.5,0.3,0.13,5,0.8
Marco Belinelli,SAS,33,79,23,0.8,0.2,0,2.4,2.9
Marcus Derrickson,GSW,23,11,6.1,0.2,0.1,0,2.1,0.8
Marcus Morris,BOS,29,75,27.9,1,0.4,0,3,2.8
Marcus Smart,BOS,25,80,27.5,2.9,0.7,0.19,2.9,4.3
Mario Hezonja,NYK,24,58,20.8,1.7,0.3,0.02,3.3,2.5
Markelle Fultz,ORL,21,19,22.5,1.3,0.4,0,2.4,2.2
Markieff Morris,OKC,29,58,21.9,1.1,0.3,0.09,3.9,2.2
Marquese Chriss,CLE,21,43,11.6,0.7,0.3,0.02,2.8,1.2
Marvin Bagley III,SAC,20,62,25.3,0.8,0.4,0,5.2,3.9
Marvin Williams,CHA,33,75,28.4,1.8,0.6,0,5.6,3.3
Mason Plumlee,DEN,29,82,21.1,1.6,0.3,0.06,4.5,2.1
Matthew Dellavedova,CLE,28,48,16.9,0.7,0.3,0,2.4,1.8
Maurice Harkless,POR,26,60,23.6,1.9,0.5,0,4.2,2.3
Maxi Kleber,DAL,27,71,21.2,0.8,0.3,0.07,5.9,2.6
Melvin Frazier Jr.,ORL,22,10,4.4,0.4,0.1,0,0.4,0.4
Meyers Leonard,POR,27,61,14.4,0.3,0.1,0,3.8,1.7
Michael Beasley,LAL,30,26,10.7,0.7,0.3,0,1.7,1.5
Michael Carter-Williams,ORL,27,28,13.3,1.3,0.4,0,1.9,1.6
Michael Kidd-Gilchrist,CHA,25,64,18.4,0.8,0.4,0.13,4.4,2.3
Mikal Bridges,PHX,22,82,29.5,2.7,0.9,0,3.5,2.9
Mike Conley,MEM,31,70,33.5,2.1,0.9,0.07,2.7,3.8
Mike Muscala,LAL,27,64,20.4,0.6,0.2,0,6.3,2.6
Mike Scott,PHI,30,79,17.7,0.6,0.3,0,2.5,1.6
Miles Bridges,CHA,21,80,21.2,1,0.3,0,3.5,2.5
Miles Plumlee,ATL,30,18,9.6,0.4,0.1,0,3,0.5
Milos Teodosic,LAC,32,15,10,0.4,0.1,0,1.3,1.2
Mitchell Creek,MIN,27,5,9.4,0.4,0.4,0,1,1.4
Mitchell Robinson,NYK,21,66,20.6,1.4,0.4,0.05,7.9,3.2
Mo Bamba,ORL,21,47,16.3,0.5,0.3,0,6.7,1.4
Monte Morris,DEN,24,82,24,1.3,0.6,0.09,1.8,2.6
Montrezl Harrell,LAC,25,82,26.3,1.1,0.5,0.24,9.3,3
Moritz Wagner,LAL,22,43,10.4,0.5,0.1,0.05,2.3,1.9
Myles Turner,IND,23,74,28.6,1.5,0.4,0.01,9.9,2.2
Naz Mitrou-Long,UTA,25,14,6,0.3,0.1,0.07,0.5,0.6
Nemanja Bjelica,SAC,31,77,23.2,1.6,0.3,0,5.7,3.9
Nene,HOU,36,42,13,1.1,0.2,0.07,2.7,1.2
Nerlens Noel,OKC,25,77,13.7,1.9,0.2,0.08,4.9,1.3
Nick Young,DEN,34,4,9.3,0,0,0,0.8,0.5
Nicolas Batum,CHA,30,75,31.4,1.9,0.6,0.01,4.3,3.4
Nik Stauskas,CLE,25,68,14.9,0.4,0.1,0,1.6,1.8
Nikola Jokic,DEN,24,80,31.3,2.4,0.5,0.06,7.2,2.9
Nikola Mirotic,MIL,28,46,27.1,1.3,0.3,0.02,5.6,3.2
Nikola Vucevic,ORL,28,80,31.4,1.6,0.4,0,9.3,1.4
Noah Vonleh,NYK,23,68,25.3,1.1,0.7,0.06,5.6,2.6
Norman Powell,TOR,26,60,18.8,1.1,0.4,0,2,2
OG Anunoby,TOR,21,67,20.2,1.5,0.3,0.06,3,2.5
Okaro White,WAS,26,3,2.1,0,0,0,0.3,0.7
Omari Spellman,ATL,21,46,17.5,0.7,0.3,0,4,3.4
Omri Casspi,MEM,31,36,14.5,0.9,0.2,0,1.8,1.4
Otto Porter Jr.,CHI,26,56,30.1,2.6,0.8,0.05,3.2,2.8
PJ Dozier,BOS,22,6,8.5,0.5,0.2,0,0.2,0.3
PJ Tucker,HOU,34,82,34.2,2.4,0.9,0.29,4.4,3.7
Pascal Siakam,TOR,25,80,31.8,1.6,0.8,0.01,5.5,4.8
Pat Connaughton,MIL,26,61,20.7,0.9,0.4,0,3.1,3.5
Patrick Beverley,LAC,30,78,27.4,2.1,0.8,0.1,2.9,2.7
Patrick McCaw,TOR,23,29,13.7,1.4,0.3,0,1.2,1
Patrick Patterson,OKC,30,63,13.7,0.3,0.1,0,2.6,1.9
Patty Mills,SAS,30,82,23.3,1.1,0.6,0.11,1.3,1.9
Pau Gasol,MIL,38,30,12,0.2,0.1,0,5.2,0.4
Paul George,OKC,29,77,36.9,3.8,1.2,0.06,4.3,4.2
Paul Millsap,DEN,34,70,27.1,2.1,0.5,0.06,4.8,3.8
Quincy Acy,PHX,28,10,12.3,0.4,0,0.4,3.3,1.4
Quincy Pondexter,SAS,31,53,5.5,0.3,0.2,0,0.5,0.6
Quinn Cook,GSW,26,74,14.3,0.5,0.3,0,1.3,1.3
RJ Hunter,BOS,25,1,25.7,2,0,0,2,3
Rajon Rondo,LAL,33,46,29.8,2.1,0.9,0.13,1.4,3
Raul Neto,UTA,27,37,12.8,0.7,0.5,0.05,1.9,1.2
Rawle Alkins,CHI,21,10,12,0.2,0.1,0,1.3,0.8
Ray Spalding,PHX,22,14,10.5,1,0.2,0,3.4,1.3
Raymond Felton,OKC,35,33,11.5,0.6,0.2,0,1.4,0.9
Reggie Bullock,LAL,28,63,29.8,0.8,0.5,0.05,2.9,2.6
Reggie Jackson,DET,29,82,27.9,0.9,0.5,0.09,2.7,3.1
Richaun Holmes,PHX,25,70,16.9,1.2,0.3,0,6.3,1.4
Ricky Rubio,UTA,28,68,27.9,3,0.9,0.06,3.4,2.5
Robert Covington,MIN,28,35,34.4,3.7,0.7,0.06,4.3,3.7
Robert Williams III,BOS,21,32,8.8,0.5,0.2,0,3.7,1.1
Robin Lopez,CHI,31,74,21.7,0.3,0.1,0,7.9,1.8
Rodions Kurucs,BKN,21,63,20.5,1.7,0.4,0,3.5,2
Rodney Hood,POR,26,72,26.3,1.5,0.3,0.06,2.7,2.1
Rodney McGruder,LAC,27,66,23.5,0.7,0.4,0.03,2.9,2.5
Ron Baker,WAS,26,15,10.1,0.9,0.4,0,0.9,0.5
Rondae Hollis-Jefferson,BKN,24,59,20.9,1.3,0.4,0.03,4.6,2.4
Royce O'Neale,UTA,26,82,20.4,1,0.5,0.01,2.5,1.9
Rudy Gay,SAS,32,69,26.7,1.8,0.5,0.04,3.4,2.8
Rudy Gobert,UTA,27,81,31.8,1.6,0.3,0.05,13.8,2.2
Russell Westbrook,OKC,30,73,36,3.1,0.8,0.07,2.4,2.3
Ryan Anderson,MIA,31,25,12.9,0,0,0.08,1.5,1.2
Ryan Arcidiacono,CHI,25,81,24.2,1.2,0.6,0.2,2.1,2.3
Ryan Broekhoff,DAL,28,42,10.8,0.2,0.2,0.02,1,1.3
Salah Mejri,DAL,33,36,11.1,0.6,0.2,0.33,5.3,0.9
Sam Dekker,WAS,25,47,16.8,1,0.7,0,2.6,2.1
Scott Machado,LAL,29,4,4.8,0.3,0,0,0.8,0.3
Semi Ojeleye,BOS,24,56,10.6,0.2,0.2,0.05,1.3,1.6
Serge Ibaka,TOR,29,74,27.2,0.7,0.4,0,9.5,2.3
Seth Curry,POR,28,74,18.9,1.1,0.3,0.03,1.3,1.7
Shabazz Napier,BKN,27,56,17.6,1.5,0.4,0.02,1.7,1.8
Shai Gilgeous-Alexander,LAC,20,82,26.5,1.9,0.7,0.01,4.4,2.6
Shake Milton,PHI,22,20,13.4,0.5,0.2,0,1.6,1.1
Shaquille Harrison,CHI,25,73,19.6,2,0.8,0,2.7,2.5
Shaun Livingston,GSW,33,64,15.1,0.7,0.3,0,1.6,1.6
Shelvin Mack,CHA,29,57,21.9,1,0.6,0.05,2.6,3
Sindarius Thornwell,LAC,24,64,4.9,0.5,0.1,0.02,0.7,0.6
Skal Labissiere,POR,23,22,8,0.4,0.2,0,2.4,1.4
Solomon Hill,NOP,28,44,20,1,0.4,0.02,2.8,2.5
Spencer Dinwiddie,BKN,26,68,28.1,1.2,0.3,0.01,3.2,2.5
Stanley Johnson,NOP,23,66,18.3,1.4,0.6,0,2.1,1.3
Stephen Curry,GSW,31,69,33.8,2.4,0.9,0.16,2.6,2.8
Sterling Brown,MIL,24,58,17.8,1.3,0.5,0,1.3,2.4
Steven Adams,OKC,25,80,33.4,2.2,0.7,0,10.8,3.6
Svi Mykhailiuk,DET,22,42,10.5,0.6,0.1,0.05,1.5,1.2
T.J. McConnell,PHI,27,76,19.3,1.9,0.5,0.01,2.2,1.3
T.J. Warren,PHX,25,43,31.6,2.1,0.6,0.02,2.9,2.7
TJ Leaf,IND,22,58,9,0.3,0.1,0,2.2,1.2
Tahjere McCall,BKN,24,1,8,1,0,0,1,0
Taj Gibson,MIN,34,70,24.1,1.2,0.4,0,4.9,3.1
Taurean Prince,ATL,25,55,28.2,2,0.5,0.09,2.3,2.5
Terrance Ferguson,OKC,21,74,26.1,0.8,0.5,0,3.9,3
Terrence Jones,HOU,27,2,2.6,0,0,0,1.5,0
Terrence Ross,ORL,28,81,26.5,1.5,0.5,0,2.1,3.2
Terry Rozier,BOS,25,79,22.7,1.2,0.6,0.04,1.5,2.1
Thabo Sefolosha,UTA,35,50,12.2,1.3,0.4,0.02,1.3,1
Thaddeus Young,IND,31,81,30.7,3.3,0.6,0.28,4.9,4.4
Theo Pinson,BKN,23,18,11.7,0.4,0.3,0,0.9,1.8
Thomas Bryant,WAS,21,72,20.8,0.7,0.3,0.03,7.3,1.9
Thomas Welsh,DEN,23,11,3.3,0,0.1,0,1.1,0.5
Thon Maker,DET,22,64,15.2,0.6,0.2,0,4.9,1.9
Tim Frazier,MIL,28,59,19,1.2,0.4,0.07,1.3,2
Tim Hardaway Jr.,DAL,27,65,31.6,1.3,0.7,0.28,3.1,3.8
Timothe Luwawu-Cabarrot,CHI,24,50,13.4,0.4,0.2,0.02,1.4,1
Tobias Harris,PHI,26,82,34.7,1.1,0.5,0,5.1,3.3
Tomas Satoransky,WAS,27,80,27,1.7,0.4,0.03,3.3,2.6
Tony Bradley,UTA,21,3,12,0.3,0,0,3.7,1
Tony Parker,CHA,37,56,17.9,0.5,0.2,0,0.9,1.2
Tony Snell,MIL,27,74,17.6,0.8,0.3,0,2.2,2.3
Torrey Craig,DEN,28,75,20,1,0.5,0.01,3,2.8
Trae Young,ATL,20,81,30.9,1.3,0.8,0.05,2.2,3
Treveon Graham,BKN,25,35,20.4,0.5,0.6,0.14,3.2,2.3
Trevon Duval,HOU,20,3,1.9,0,0.3,0,0.3,0
Trevor Ariza,WAS,33,69,34,2.4,0.7,0.03,2.6,2.9
Trey Burke,DAL,26,58,19.4,0.9,0.4,0,2,2
Trey Lyles,DEN,23,64,17.5,0.6,0.3,0.02,3.7,2.2
Tristan Thompson,CLE,28,43,27.9,0.8,0.6,0.02,5.8,1.9
Troy Brown Jr.,WAS,19,52,14,0.8,0.3,0.04,1.5,1.8
Troy Caupain,ORL,23,4,3.9,0,0.3,0,0.3,0.5
Troy Daniels,PHX,27,51,14.9,0.7,0.3,0.02,1.2,1.4
Troy Williams,SAC,24,21,14.9,0.9,0.4,0,1.4,1.8
Tyler Cavanaugh,UTA,25,11,3.6,0,0.2,0,0.6,0.1
Tyler Davis,OKC,22,1,0.9,0,0,0,1,0
Tyler Dorsey,MEM,23,48,14.5,0.7,0.3,0,1.4,1.8
Tyler Johnson,PHX,27,57,26.8,1.5,0.8,0.07,3.3,3.4
Tyler Lydon,DEN,23,25,3.7,0.1,0,0,0.5,0.4
Tyler Ulis,CHI,23,1,0.8,0,0,0,0,0
Tyler Zeller,MEM,29,6,15.5,0.2,0,0.17,3.5,2.2
Tyreke Evans,IND,29,69,20.3,1.4,0.6,0.06,2,2.2
Tyrone Wallace,LAC,25,62,10.1,0.5,0.2,0,1.1,1.1
Tyson Chandler,LAL,36,55,15.9,0.5,0.2,0.02,5.1,0.9
Tyus Jones,MIN,23,68,22.9,1.9,0.6,0.06,1.7,2.3
Udonis Haslem,MIA,39,10,7.5,0.4,0.2,0.2,1.4,0.2
Victor Oladipo,IND,27,36,31.9,2.8,1.2,0.36,3.1,4.9
Vince Carter,ATL,42,76,17.5,1.1,0.3,0.08,1.8,2.1
Vincent Edwards,HOU,23,2,7.9,0,0,0,0.5,1.5
Wade Baldwin IV,POR,23,16,5.9,0.5,0.1,0,0.7,1.1
Walter Lemon Jr.,CHI,26,6,27.9,3.3,0.8,0.17,2.5,2.8
Wayne Ellington,DET,31,53,24.5,1.3,0.6,0,2.4,2.4
Wayne Selden,CHI,24,75,19.2,0.7,0.3,0.07,2,2.3
Wendell Carter Jr.,CHI,20,44,25.2,1.2,0.5,0,8.4,2.2
Wes Iwundu,ORL,24,68,18.1,0.9,0.3,0.01,2.4,1.9
Wesley Johnson,WAS,31,38,14.1,0.9,0.3,0,2,1.6
Wesley Matthews,IND,32,69,30.3,1.5,0.6,0.1,3,2.7
Will Barton,DEN,28,43,27.7,1.2,0.2,0,2.9,2.6
Willie Cauley-Stein,SAC,25,81,27.3,2.2,0.4,0.02,6.5,2.1
Willy Hernangomez,CHA,25,58,14,0.5,0.3,0,4.5,1
Wilson Chandler,LAC,32,51,23.1,0.8,0.3,0,3.6,2.4
Yante Maten,MIA,22,2,6.5,1,0,0,2,2.5
Yogi Ferrell,SAC,26,71,15,0.8,0.2,0.1,0.9,1.3
Yuta Watanabe,MEM,24,15,11.6,0.6,0.2,0.07,1.7,1.5
Zach Collins,POR,21,77,17.6,0.6,0.2,0,6.1,2
Zach LaVine,CHI,24,63,34.5,1.6,0.5,0,2.6,3.9
Zach Lofton,DET,26,1,3.8,0,0,0,0,0
Zaza Pachulia,DET,35,68,12.9,1,0.2,0.06,3.4,1.1
Zhaire Smith,PHI,20,6,18.4,0.7,0.2,0,3.2,1.3
Zhou Qi,HOU,23,1,1,0,0,0,0,0